school_id,school_name,gu,access_condition_type,official_park,functional_park,route_names_differ,official_barrier_level,functional_barrier_level,official_crossing_count,functional_crossing_count,official_large_intersection,functional_large_intersection,official_accident_hotspot,functional_accident_hotspot,functional_risk,official_risk,hidden_if_official_only,understated_if_official_only,mismatch_reasons,ui_warning_text,audit_category
B000002972,인천용정초등학교,미추홀구,nominal_access_only,주인공원,주인공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000002973,인천용일초등학교,미추홀구,near_park_low_green_imbalance,용남공원,용남공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000002974,인천용현초등학교,미추홀구,near_park_low_green_imbalance,용정공원,용정공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000002975,인천용현남초등학교,미추홀구,nominal_access_only,햇님공원,용정공원,True,3,3,1,1,False,False,False,False,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000002976,인천학산초등학교,미추홀구,near_park_low_green_imbalance,모리포공원,모리포공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002977,인천백학초등학교,미추홀구,functional_access_available,묵동공원,문학공원,True,0,0,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000002978,인천도화초등학교,미추홀구,no_official_park,수봉공원,수봉공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000002979,인천문학초등학교,미추홀구,near_park_low_green_imbalance,소성어린이공원,삼호어린이공원,True,0,2,0,1,False,False,False,False,True,False,True,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002980,인천관교초등학교,미추홀구,nominal_access_only,관교공원,구월문화공원,True,0,1,0,0,False,False,False,False,False,False,False,True,보행부담 등급,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002981,인천경원초등학교,미추홀구,nominal_access_only,비선거리공원,하늘새어린이공원,True,2,3,1,3,False,True,False,True,True,True,False,True,보행부담 등급 · 간선도로 횡단 · 대형 교차로 · 사고위험 지점,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단·대형 교차로·사고위험 지점 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002982,인천석암초등학교,미추홀구,no_official_park,주안공원,주안공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002983,인천남부초등학교,미추홀구,nominal_access_only,사미공원,승기어린이공원,True,2,3,0,1,False,False,True,True,True,True,False,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002984,인천승학초등학교,미추홀구,functional_access_with_barrier,중앙공원,중앙공원,False,2,2,1,1,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000002985,인천서화초등학교,미추홀구,functional_access_available,배말근린공원,배말근린공원,False,1,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002986,인천대화초등학교,미추홀구,nominal_access_only,쑥골공원,화동공원,True,2,3,0,1,False,False,True,True,True,True,False,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002987,인천주안북초등학교,미추홀구,nominal_access_only,염창공원,돌샘어린이공원,True,0,2,0,0,False,False,False,True,True,False,True,True,보행부담 등급 · 사고위험 지점,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·사고위험 지점 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002989,인천주안남초등학교,미추홀구,nominal_access_only,미니공원,미추어린이공원,True,1,3,0,2,False,False,False,True,True,False,True,True,보행부담 등급 · 간선도로 횡단 · 사고위험 지점,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단·사고위험 지점 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002990,인천학익초등학교,미추홀구,nominal_access_only,학익공원,학익공원,False,2,2,1,1,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000002991,인천인주초등학교,미추홀구,near_park_low_green_imbalance,나리공원,선비공원,True,0,0,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000002992,인천연학초등학교,미추홀구,functional_access_available,물방울어린이공원,미추홀공원,True,1,1,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000002993,연평초등학교,옹진군,no_official_park,창포공원,,False,2,,1,,False,False,False,False,False,True,False,False,,,aligned_route_basis
B000002994,대청초등학교,옹진군,no_official_park,창포공원,,False,2,,1,,False,False,False,False,False,True,False,False,,,aligned_route_basis
B000002995,영흥초등학교,옹진군,no_official_park,영종하늘도시 6호,,False,,,,,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002996,덕적초등학교,옹진군,no_official_park,영종하늘도시 6호,,False,,,,,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002997,북포초등학교,옹진군,no_official_park,창포공원,,False,2,,1,,False,False,False,False,False,True,False,False,,,aligned_route_basis
B000002998,백령초등학교,옹진군,no_official_park,창포공원,,False,2,,1,,False,False,False,False,False,True,False,False,,,aligned_route_basis
B000002999,인천공항초등학교신도분교장,옹진군,no_official_park,창포공원,,False,,,,,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003000,인천삼목초등학교장봉분교장,옹진군,no_official_park,창포공원,,False,2,,1,,False,False,False,False,False,True,False,False,,,aligned_route_basis
B000003004,인천남부초등학교이작분교장,옹진군,no_official_park,영종하늘도시 6호,,False,,,,,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003005,인천용현남초등학교자월분교장,옹진군,no_official_park,영종하늘도시 6호,,False,,,,,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003006,인천부평서초등학교,부평구,nominal_access_only,서부동놀이공원,부흥놀이공원,True,1,2,0,0,False,False,False,True,True,False,True,True,보행부담 등급 · 사고위험 지점,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·사고위험 지점 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003007,인천부곡초등학교,부평구,nominal_access_only,마장공원,마장공원,False,3,3,1,1,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003008,인천마곡초등학교,부평구,nominal_access_only,성벽어린이공원,푸른내어린이공원,True,0,3,0,0,False,False,False,False,True,False,True,True,보행부담 등급,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003009,인천대정초등학교,부평구,nominal_access_only,마장공원,마장공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003010,인천청천초등학교,부평구,near_park_low_green_imbalance,어울림어린이공원,어울림어린이공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003011,인천갈산초등학교,부평구,near_park_low_green_imbalance,상꾸지놀이공원,상꾸지놀이공원,False,3,3,1,1,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003012,인천후정초등학교,부평구,nominal_access_only,동화놀이공원,도드리놀이공원,True,0,1,0,0,False,False,False,False,False,False,False,True,보행부담 등급,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003013,인천영선초등학교,부평구,near_park_low_green_imbalance,햇살공원,햇살공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003014,인천진산초등학교,부평구,near_park_low_green_imbalance,새싹공원,새싹공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003015,인천구산초등학교,부평구,functional_access_available,부개공원,부개공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003016,인천부일초등학교,부평구,near_park_low_green_imbalance,동소정놀이공원,새말놀이공원,True,0,0,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000003017,인천부내초등학교,부평구,functional_access_with_barrier,대촌공원,대촌공원,False,2,2,1,1,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003018,인천부개서초등학교,부평구,nominal_access_only,한가람공원,한가람공원,False,3,3,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003019,인천부광초등학교,부평구,functional_access_available,세영공원,세영공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003020,인천일신초등학교,부평구,near_park_low_green_imbalance,일신놀이공원,일신놀이공원,False,2,2,0,0,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003021,인천금마초등학교,부평구,nominal_access_only,일신놀이공원,일신놀이공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003022,인천상정초등학교,부평구,near_park_low_green_imbalance,한마음어린이공원,한마음어린이공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003023,인천부평북초등학교,부평구,nominal_access_only,삼산어린이공원,햇살공원,True,3,3,2,3,False,False,False,False,True,True,False,True,간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003024,인천갈월초등학교,부평구,functional_access_with_barrier,굴포공원,굴포공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003025,인천부개초등학교,부평구,nominal_access_only,마분놀이공원,일신놀이공원,True,1,1,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000003026,인천동수초등학교,부평구,nominal_access_only,만월공원,만월공원,False,3,3,1,1,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003027,인천부원초등학교,부평구,no_official_park,신트리공원,신트리공원,False,3,3,1,1,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003028,인천부흥초등학교,부평구,near_park_low_green_imbalance,부흥놀이공원,부흥놀이공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003029,인천부평동초등학교,부평구,nominal_access_only,꿈나무공원,부흥놀이공원,True,2,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003030,인천부평남초등학교,부평구,nominal_access_only,이야기꽃어린이공원,부평공원,True,2,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003031,인천산곡북초등학교,부평구,nominal_access_only,성벽어린이공원,다온어린이공원,True,2,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003032,인천산곡초등학교,부평구,nominal_access_only,산곡소공원,산곡어린이공원,True,3,3,3,2,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003033,인천부마초등학교,부평구,no_official_park,산곡소공원,산곡어린이공원,True,3,3,3,2,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003034,인천미산초등학교,부평구,no_official_park,마장공원,마장공원,False,3,3,1,1,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003035,인천산곡남초등학교,부평구,nominal_access_only,마장공원,마장공원,False,3,3,0,0,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003036,인천신촌초등학교,부평구,near_park_low_green_imbalance,함봉공원(1단계),함봉공원(1단계),False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003037,인천하정초등학교,부평구,near_park_low_green_imbalance,수정놀이공원,한마음어린이공원,True,0,0,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000003038,인천십정초등학교,부평구,nominal_access_only,하동놀이공원,한마음어린이공원,True,0,2,0,1,False,False,False,False,True,False,True,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003039,인천백운초등학교,부평구,functional_access_with_barrier,십정공원,십정공원,False,3,3,0,0,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003040,인천동암초등학교,부평구,nominal_access_only,약산놀이공원,석촌공원,True,0,3,0,1,False,False,False,False,True,False,True,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003041,인천용마초등학교,부평구,nominal_access_only,다온어린이공원,다온어린이공원,False,3,3,2,2,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003042,인천마장초등학교,부평구,no_official_park,마장공원,마장공원,False,3,3,1,1,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003043,인천개흥초등학교,부평구,nominal_access_only,신복공원,신트리공원,True,2,3,0,1,False,False,True,True,True,True,False,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003044,인천삼산초등학교,부평구,near_park_low_green_imbalance,사랑샘공원,사랑샘공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003045,인천한길초등학교,부평구,near_park_low_green_imbalance,도드리놀이공원,도드리놀이공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003046,인천굴포초등학교,부평구,near_park_low_green_imbalance,무지개공원,무지개공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003047,한일초등학교,부평구,nominal_access_only,숲속어린이공원,산곡어린이공원,True,0,3,0,2,False,False,False,False,True,False,True,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003048,인천명선초등학교,연수구,nominal_access_only,새아침공원,새아침공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003049,인천축현초등학교,연수구,near_park_low_green_imbalance,청룡공원,청룡공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003050,인천송도초등학교,연수구,nominal_access_only,향나무공원,청룡공원,True,3,3,1,1,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003051,인천능허대초등학교,연수구,nominal_access_only,새싹공원,능허대공원,True,2,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003052,인천선학초등학교,연수구,near_park_low_green_imbalance,선학공원,선학공원,False,3,3,1,1,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003053,인천중앙초등학교,연수구,functional_access_available,솔밭공원,솔밭공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003054,인천연화초등학교,연수구,near_park_low_green_imbalance,샘말공원,양지공원,True,2,2,1,1,False,False,False,False,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003055,인천함박초등학교,연수구,functional_access_with_barrier,장미공원,장미공원,False,2,2,1,1,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003056,인천청학초등학교,연수구,functional_access_with_barrier,하나공원,하나공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003057,인천청량초등학교,연수구,near_park_low_green_imbalance,청량공원,청량공원,False,3,3,1,1,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003058,인천연성초등학교,연수구,near_park_low_green_imbalance,부수지공원,부수지공원,False,2,2,0,0,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003059,인천동춘초등학교,연수구,functional_access_available,동춘3공원,동춘3공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003060,인천동막초등학교,연수구,near_park_low_green_imbalance,동막공원,동막공원,False,3,3,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003061,인천서면초등학교,연수구,nominal_access_only,봉재공원,봉재공원,False,2,2,1,1,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003062,인천연수초등학교,연수구,nominal_access_only,연일공원,연일공원,False,2,2,1,1,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003063,인천문남초등학교,연수구,functional_access_with_barrier,문남공원,문남공원,False,2,2,0,0,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003064,인천옥련초등학교,연수구,nominal_access_only,새싹공원,능허대공원,True,3,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003065,인천신정초등학교,연수구,nominal_access_only,송도  11호 어린이공원,센트럴파크,True,2,1,0,0,False,False,True,False,False,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000003066,인천해송초등학교,연수구,functional_access_available,미추홀공원,미추홀공원,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003067,인천신송초등학교,연수구,functional_access_available,신송공원,신송공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003068,인천먼우금초등학교,연수구,nominal_access_only,먼우금공원(송도1호),달빛공원,True,0,1,0,0,False,False,False,False,False,False,False,True,보행부담 등급,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003069,인천박문초등학교,연수구,functional_access_available,동춘5공원,동춘4공원,True,0,0,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000003070,인천남촌초등학교,남동구,near_park_low_green_imbalance,소촌공원,남촌공원,True,1,1,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000003071,인천성리초등학교,남동구,nominal_access_only,작은성말공원,아시아드선수촌공원,True,2,3,0,3,False,False,True,True,True,True,False,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003073,인천정각초등학교,남동구,nominal_access_only,장다리공원,구월공원,True,2,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003074,인천간석초등학교,남동구,near_park_low_green_imbalance,용광공원,구월공원,True,2,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003075,인천구월서초등학교,남동구,functional_access_with_barrier,석바위공원,석바위공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003076,인천상아초등학교,남동구,nominal_access_only,용광공원,구월공원,True,2,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003077,상인천초등학교,남동구,near_park_low_green_imbalance,풀무골소공원,풀무골소공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000003078,인천석정초등학교,남동구,nominal_access_only,석정공원,돌샘어린이공원,True,0,2,0,1,False,False,False,False,True,False,True,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003079,인천만수북초등학교,남동구,nominal_access_only,향촌소공원,아단공원,True,2,1,0,0,False,False,False,False,False,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000003080,인천동부초등학교,남동구,nominal_access_only,화교공원,새말소공원,True,2,3,0,1,False,False,True,True,True,True,False,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000003081,인천인수초등학교,남동구,near_park_low_green_imbalance,아단공원,아단공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000003082,인천만수초등학교,남동구,near_park_low_green_imbalance,창대공원,담방문화공원,True,2,2,0,0,False,False,True,True,True,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_functional_risk_visible
B000003083,인천도림초등학교,남동구,functional_access_with_barrier,오봉공원,오봉공원,False,3,3,0,0,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000003084,인천은봉초등학교,남동구,functional_access_with_barrier,논현중앙공원,논현중앙공원,False,3,3,1,1,False,False,False,False,True,True,False,False,,,aligned_route_basis
