학교ID,학교명,사업,검토상태,관측시설수,판단근거
B000003150,인천건지초등학교,library,판단 보류,4,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003150,인천건지초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003150,인천건지초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003150,인천건지초등학교,welfare,판단 보류,5,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000025202,인천장아초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025202,인천장아초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000025202,인천장아초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000025202,인천장아초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003013,인천영선초등학교,library,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003013,인천영선초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003013,인천영선초등학교,sports,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003013,인천영선초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003127,인천부현동초등학교,library,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003127,인천부현동초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003127,인천부현동초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003127,인천부현동초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003012,인천후정초등학교,library,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003012,인천후정초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003012,인천후정초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003012,인천후정초등학교,welfare,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003007,인천부곡초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003007,인천부곡초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003007,인천부곡초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003007,인천부곡초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000027505,인천중산초등학교,library,판단 보류,2,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000027505,인천중산초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000027505,인천중산초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000027505,인천중산초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000024924,인천하늘초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000024924,인천하늘초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000024924,인천하늘초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000024924,인천하늘초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003137,인천간재울초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003137,인천간재울초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003137,인천간재울초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003137,인천간재울초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003148,인천가림초등학교,library,판단 보류,3,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003148,인천가림초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003148,인천가림초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003148,인천가림초등학교,welfare,판단 보류,2,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003189,해명초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003189,해명초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003189,해명초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003189,해명초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003113,인천화전초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003113,인천화전초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003113,인천화전초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003113,인천화전초등학교,welfare,판단 보류,2,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003131,인천효성서초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003131,인천효성서초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003131,인천효성서초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003131,인천효성서초등학교,welfare,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000026155,인천한들초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000026155,인천한들초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000026155,인천한들초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000026155,인천한들초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025248,인천은송초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025248,인천은송초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000025248,인천은송초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000025248,인천은송초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003095,인천구월초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003095,인천구월초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003095,인천구월초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003095,인천구월초등학교,welfare,판단 보류,3,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003140,인천초은초등학교,library,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003140,인천초은초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003140,인천초은초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003140,인천초은초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025189,인천송명초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025189,인천송명초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000025189,인천송명초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000025189,인천송명초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025677,인천주안초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025677,인천주안초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000025677,인천주안초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000025677,인천주안초등학교,welfare,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003164,인천가정초등학교,library,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003164,인천가정초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003164,인천가정초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003164,인천가정초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003187,양사초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003187,양사초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003187,양사초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003187,양사초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003133,인천해원초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003133,인천해원초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003133,인천해원초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003133,인천해원초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000002968,인천서림초등학교,library,판단 보류,3,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000002968,인천서림초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000002968,인천서림초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000002968,인천서림초등학교,welfare,판단 보류,5,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000026333,인천가원초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000026333,인천가원초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000026333,인천가원초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000026333,인천가원초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003175,조산초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003175,조산초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003175,조산초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003175,조산초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003074,인천간석초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003074,인천간석초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003074,인천간석초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003074,인천간석초등학교,welfare,판단 보류,2,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000002993,연평초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000002993,연평초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000002993,연평초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000002993,연평초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000025236,인천첨단초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025236,인천첨단초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000025236,인천첨단초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000025236,인천첨단초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000026470,인천이음초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000026470,인천이음초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000026470,인천이음초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000026470,인천이음초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003124,인천안산초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003124,인천안산초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003124,인천안산초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003124,인천안산초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003185,하점초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003185,하점초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
