연도,시도,행정구,교육지원청,학교급,고등학교유형,학교세부유형,학교명,KEDI학교코드,본분교,설립,상태,지역규모,학교개교일,우편번호,도로명주소,전화번호,팩스번호,홈페이지,학생수,도서관(실)수,좌석수,장서수_계,도서,비도서,사서교사_사서교사_계,사서교사자격증 보유 교사,직원(사서자격증보유여부)_직원수_계,보유,미보유,예산액(단위:원)_계,자료구입비,운영비,좌석당학생수,1인당장서수
2025,인천,중구,남부,초등학교,,초등학교,인천신광초등학교,231021492,본교,공립,기존(원)교,특별/광역시,19580401,22330 ,인천광역시 중구 인중로 63 (신흥동3가. 신광초등학교),032-882-0474,032-881-8341,http://skes.icees.kr,699,1,44,22239,22187,52,0,0,0,0,0,17800000,14700000,3100000,15.9,31.8
2025,인천,중구,남부,초등학교,,초등학교,인천하늘초등학교,231021543,본교,공립,기존(원)교,특별/광역시,20130901,22390 ,인천광역시 중구 은하수로 294 (중산동. 영종하늘초등학교),032-745-6700,032-745-6710,http://sky.icees.kr/,1305,1,56,22592,22533,59,0,0,0,0,0,30200000,23000000,7200000,23.3,17.3
2025,인천,중구,남부,초등학교,,초등학교,인천삼목초등학교,231021557,본교,공립,기존(원)교,특별/광역시,20040301,22365 ,인천광역시 중구 신도시북로 42. 삼목초등학교 (운서동. 인천삼목초등학교),032-746-2812,032-746-2814,http://sm.icees.kr,481,1,47,25998,25841,157,0,0,0,0,0,12760000,10800000,1960000,10.2,54
2025,인천,중구,남부,초등학교,,초등학교,인천운남초등학교,231021588,본교,공립,기존(원)교,특별/광역시,20100301,22372 ,인천광역시 중구 운남서로 38 (운남동. 운남초등학교),032-746-2190,032-746-2199,http://woonnam.icees.kr/,458,1,60,19221,18993,228,0,0,1,0,1,15500000,11300000,4200000,7.6,42
2025,인천,중구,남부,초등학교,,초등학교,인성초등학교,231021866,본교,사립,기존(원)교,특별/광역시,19621231,22315 ,인천광역시 중구 신포로39번길 42 (송학동2가),032-772-2239,032-764-1986,http://insunges.icees.kr,499,1,24,12979,12653,326,0,0,1,0,1,11300000,10500000,800000,20.8,26
2025,인천,중구,남부,초등학교,,초등학교,인천중산초등학교,231021867,본교,공립,기존(원)교,특별/광역시,20190301,22391 ,인천광역시 중구 두미포로 100 . 인천중산초등학교 (중산동),032-509-3600,032-509-3602,http://ijse.icees.kr,1582,1,65,20324,20320,4,1,1,0,0,0,30290000,20000000,10290000,24.3,12.8
2025,인천,동구,남부,초등학교,,초등학교,인천송림초등학교,231021231,본교,공립,기존(원)교,특별/광역시,19330405,22552 ,인천광역시 동구 화도진로 10 (송림동. 송림초등학교),032-764-2342,032-764-2344,http://songrim.icees.kr,434,1,40,18610,18542,68,0,0,0,0,0,12160000,9160000,3000000,10.9,42.9
2025,인천,동구,남부,초등학교,,초등학교,인천만석초등학교,231021232,본교,공립,기존(원)교,특별/광역시,19590401,22511 ,인천광역시 동구 제물량로 412 (화수동. 만석초등학교),032-772-4784,032-772-4783,http://www.manseok.icees.kr,263,1,48,20843,20451,392,0,0,1,1,0,11500000,10000000,1500000,5.5,79.3
2025,인천,동구,남부,초등학교,,초등학교,인천서림초등학교,231021296,본교,공립,기존(원)교,특별/광역시,19390415,22558 ,인천광역시 동구 금곡로 105 (송림동.서림초등학교),032-766-3392,032-629-1771,http://seorim.icees.kr,488,1,56,18993,18605,388,0,0,1,1,0,18150000,10600000,7550000,8.7,38.9
2025,인천,동구,남부,초등학교,,초등학교,인천서흥초등학교,231021304,본교,공립,기존(원)교,특별/광역시,19650302,22540 ,인천광역시 동구 샛골로 189 (송림동),032-764-4404,032-764-4406,http://seoheung.icees.kr,329,1,30,15187,15079,108,0,0,1,0,1,14400000,10000000,4400000,11,46.2
2025,인천,동구,남부,초등학교,,초등학교,인천송현초등학교,231021352,본교,공립,기존(원)교,특별/광역시,19370419,22521 ,인천광역시 동구 송화로 45 (송현동. 송현초등학교),032-764-4482,032-764-4456,http://ish.icees.kr,347,1,30,21395,21217,178,1,1,0,0,0,14820000,12300000,2520000,11.6,61.7
2025,인천,동구,남부,초등학교,,초등학교,영화초등학교,231021464,본교,사립,기존(원)교,특별/광역시,18920901,22564 ,인천광역시 동구 우각로 39 . 영화초등학교 (창영동. 영화관광경영고등학교. 영화초등학교),032-764-5131,032-763-4600,http://younghwa.icees.kr,373,1,38,892,892,0,0,0,1,1,0,10000000,8280000,1720000,9.8,2.4
2025,인천,동구,남부,초등학교,,초등학교,인천창영초등학교,231021533,본교,공립,기존(원)교,특별/광역시,19860122,22564 ,인천광역시 동구 우각로15번길 16 (창영동.창영초등학교),032-765-4332,032-764-2348,http://changyeong.icees.kr/,244,1,40,17736,17615,121,1,1,0,0,0,8508000,6708000,1800000,6.1,72.7
2025,인천,동구,남부,초등학교,,초등학교,인천동명초등학교,231021667,본교,사립,기존(원)교,특별/광역시,19460301,22555 ,인천광역시 동구 송림로70번길 10 (송림동. 동명초등학교),032-773-7549,032-766-7549,http://dongmyeong.icees.kr,438,1,30,16888,16796,92,0,0,0,0,0,22200000,21700000,500000,14.6,38.6
2025,인천,연수구,동부,초등학교,,초등학교,인천새봄초등학교,233021041,본교,공립,기존(원)교,특별/광역시,20200901,21980 ,인천광역시 연수구 앵고개로104번길 34 (동춘동. 인천새봄초등학교),032-455-8800,032-851-8008,http://saebom.icees.kr,492,1,74,8910,8887,23,0,0,1,1,0,17110000,12000000,5110000,6.6,18.1
2025,인천,연수구,동부,초등학교,,초등학교,인천첨단초등학교,233021110,본교,공립,기존(원)교,특별/광역시,20170301,21986 ,인천광역시 연수구 송도교육로 20 . 인천첨단초등학교 (송도동),032-340-8000,032-340-8083,http://cheomdan.icees.kr,1582,1,75,20147,20147,0,0,0,0,0,0,33000000,30800000,2200000,21.1,12.7
2025,인천,연수구,동부,초등학교,,초등학교,인천예송초등학교,233021111,본교,공립,기존(원)교,특별/광역시,20180301,22009 ,인천광역시 연수구 컨벤시아대로252번길 75 (송도동. 인천예송초등학교),032-458-9182,032-858-7882,http://yesong.icees.kr/main.do,1185,1,33,17883,17883,0,0,0,0,0,0,25400000,18000000,7400000,35.9,15.1
2025,인천,연수구,동부,초등학교,,초등학교,인천송일초등학교,233021134,본교,공립,기존(원)교,특별/광역시,20150901,22009 ,인천광역시 연수구 컨벤시아대로252번길 15 . 인천송일초등학교 (송도동),032-550-7700,032-550-7719,http://songil.icees.kr/main.do,980,1,86,20276,20225,51,0,0,1,1,0,36543000,18523000,18020000,11.4,20.7
2025,인천,연수구,동부,초등학교,,초등학교,인천연송초등학교,233021135,본교,공립,기존(원)교,특별/광역시,20160301,22002 ,인천광역시 연수구 해돋이로 248 (송도동.인천연송초등학교),032-460-7700,032-460-7719,http://yeonsong.icees.kr,1116,2,45,18300,18114,186,0,0,1,1,0,36133000,24886000,11247000,24.8,16.4
2025,인천,연수구,동부,초등학교,,초등학교,인천송빛초등학교,233021154,본교,공립,신설(원)교,특별/광역시,20240901,22025 ,인천광역시 연수구 아카데미로343번길 27 (송도동. 인천송빛초등학교),032-745-4862,032-858-6782,http://songbit.icees.kr,762,1,223,3432,3432,0,0,0,0,0,0,50080000,45000000,5080000,3.4,4.5
2025,인천,연수구,동부,초등학교,,초등학교,인천현송초등학교,233021186,본교,공립,기존(원)교,특별/광역시,20210301,22026 ,인천광역시 연수구 아카데미로312번길 96 (송도동. 인천현송초등학교),032-452-8120,032-858-8955,http://hyunsong.icees.kr,801,1,100,10923,10923,0,0,0,0,0,0,23100000,17000000,6100000,8,13.6
2025,인천,연수구,동부,초등학교,,초등학교,인천능허대초등학교,233021198,본교,공립,기존(원)교,특별/광역시,19970901,21952 ,인천광역시 연수구 한진로 12 (옥련동. 인천능허대초등학교),032-837-7200,032-833-9137,http://nhd.icees.kr,701,1,60,25459,25335,124,0,0,0,0,0,18552000,13852000,4700000,11.7,36.3
2025,인천,연수구,동부,초등학교,,초등학교,인천동막초등학교,233021235,본교,공립,기존(원)교,특별/광역시,19940301,21976 ,인천광역시 연수구 원인재로 36 (동춘동.동막초등학교),032-814-2149,032-822-2149,http://dongmak.icees.kr,384,1,36,21036,20696,340,0,0,1,1,0,10700000,8340000,2360000,10.7,54.8
2025,인천,연수구,동부,초등학교,,초등학교,인천명선초등학교,233021246,본교,공립,기존(원)교,특별/광역시,20120301,22001 ,인천광역시 연수구 컨벤시아대로42번길 64 (송도동. 인천명선초등학교),032-851-7301,032-851-7311,http://ims.icees.kr/main.do,965,1,34,25452,25281,171,0,0,1,1,0,31142000,16172000,14970000,28.4,26.4
2025,인천,연수구,동부,초등학교,,초등학교,인천송원초등학교,233021247,본교,공립,기존(원)교,특별/광역시,20130301,21983 ,인천광역시 연수구 송도과학로51번길 60 . 인천송원초등학교 (송도동),032-830-7300,032-830-7329,http://songwon.icees.kr,753,1,36,24955,24757,198,1,0,0,0,0,25440000,17000000,8440000,20.9,33.1
2025,인천,연수구,동부,초등학교,,초등학교,인천동춘초등학교,233021265,본교,공립,기존(원)교,특별/광역시,19710301,21969 ,인천광역시 연수구 앵고개로 224 (동춘동. 동춘초등학교),032-812-5561,032-817-8996,http://idc.icees.kr/main.do,660,1,45,27275,26966,309,0,0,1,1,0,16830000,12370000,4460000,14.7,41.3
2025,인천,연수구,동부,초등학교,,초등학교,인천신정초등학교,233021302,본교,공립,기존(원)교,특별/광역시,20100901,22002 ,인천광역시 연수구 아트센터대로97번길 72 (송도동.신정초등학교),032-851-9050,032-851-9060,http://www.shinjeong.icees.kr/,1519,1,100,31414,31265,149,0,0,0,0,0,27000000,20200000,6800000,15.2,20.7
2025,인천,연수구,동부,초등학교,,초등학교,인천문남초등학교,233021325,본교,공립,기존(원)교,특별/광역시,19940301,21923 ,인천광역시 연수구 먼우금로 273 . 인천문남초등학교 (연수동),032-815-2078,032-816-0683,http://munnam.icees.kr/,503,1,50,22778,22416,362,0,0,0,0,0,15150000,11900000,3250000,10.1,45.3
2025,인천,연수구,동부,초등학교,,초등학교,인천서면초등학교,233021355,본교,공립,기존(원)교,특별/광역시,19960901,21973 ,인천광역시 연수구 먼우금로 54 (동춘동. 인천서면초등학교),032-819-0291,032-819-0295,http://sm2000.icees.kr,400,1,60,19651,19430,221,0,0,1,1,0,13418000,11468000,1950000,6.7,49.1
2025,인천,연수구,동부,초등학교,,초등학교,인천선학초등학교,233021400,본교,공립,기존(원)교,특별/광역시,19930301,21910 ,인천광역시 연수구 선학로 67 (선학동),032-814-2571,032-629-5070,http://seonhak.icees.kr,567,1,65,20388,19985,403,0,0,1,1,0,20000000,14900000,5100000,8.7,36
2025,인천,연수구,동부,초등학교,,초등학교,인천송도초등학교,233021415,본교,공립,기존(원)교,특별/광역시,19520524,21939 ,인천광역시 연수구 비류대로214번길 21 (옥련동.송도초등학교),032-832-0468,032-831-2723,http://songdo.icees.kr,285,1,37,21101,20843,258,0,0,0,0,0,14326000,10326000,4000000,7.7,74
2025,인천,연수구,동부,초등학교,,초등학교,인천연성초등학교,233021430,본교,공립,기존(원)교,특별/광역시,19940301,21974 ,인천광역시 연수구 원인재로 116 . 인천연성초등학교 (동춘동),032-629-5080,032-817-0095,http://i-ys.icees.kr,732,1,34,28056,27902,154,0,0,0,0,0,16410000,14000000,2410000,21.5,38.3
2025,인천,연수구,동부,초등학교,,초등학교,인천연수초등학교,233021445,본교,공립,기존(원)교,특별/광역시,19920301,21937 ,인천광역시 연수구 원인재로 324 (연수동.연수초등학교),032-816-7111,032-816-7114,http://yeonsu.icees.kr/,271,1,40,21315,21315,0,1,1,0,0,0,13765000,8565000,5200000,6.8,78.7
2025,인천,연수구,동부,초등학교,,초등학교,인천연화초등학교,233021460,본교,공립,기존(원)교,특별/광역시,19950301,21931 ,인천광역시 연수구 원인재로 150 (연수동),032-629-5270,032-812-9895,http://www.yonhwa.icees.kr,608,1,33,20213,20055,158,0,0,0,0,0,18300000,12000000,6300000,18.4,33.2
2025,인천,연수구,동부,초등학교,,초등학교,인천옥련초등학교,233021475,본교,공립,기존(원)교,특별/광역시,19960901,21950 ,인천광역시 연수구 한진로 30 (옥련동. 옥련초등학교),032-833-6091,032-834-1823,http://okr.icees.kr,747,1,48,31110,31012,98,0,0,0,0,0,21350000,16000000,5350000,15.6,41.6
2025,인천,연수구,동부,초등학교,,초등학교,인천먼우금초등학교,233021536,본교,공립,기존(원)교,특별/광역시,20050301,21996 ,인천광역시 연수구 해돋이로84번길 33 . 인천먼우금초등학교 (송도동. 인천먼우금초등학교),032-629-6310,032-851-0534,http://mwg.icees.kr,760,1,46,34372,34096,276,0,0,1,1,0,23288000,14638000,8650000,16.5,45.2
2025,인천,연수구,동부,초등학교,,초등학교,인천중앙초등학교,233021550,본교,공립,기존(원)교,특별/광역시,19711012,21933 ,인천광역시 연수구 새말로 153 (연수동. 중앙초등학교),032-817-8278,032-817-0097,http://ija.icees.kr,248,1,24,20167,19800,367,2,2,0,0,0,12050000,10000000,2050000,10.3,81.3
2025,인천,연수구,동부,초등학교,,초등학교,인천청량초등학교,233021565,본교,공립,기존(원)교,특별/광역시,19950301,21967 ,인천광역시 연수구 먼우금로 158 (동춘동. 청량초등학교),032-510-6300,032-817-6040,http://www.ichr.icees.kr/,450,1,35,39645,39417,228,0,0,0,0,0,12319000,9409000,2910000,12.9,88.1
2025,인천,연수구,동부,초등학교,,초등학교,인천청학초등학교,233021580,본교,공립,기존(원)교,특별/광역시,19950301,21915 ,인천광역시 연수구 함박뫼로 25 (청학동. 청학초등학교),032-629-5265,032-817-6058,http://che.icees.kr,443,1,36,17769,17720,49,0,0,1,0,1,16200000,12000000,4200000,12.3,40.1
2025,인천,연수구,동부,초등학교,,초등학교,인천축현초등학교,233021600,본교,공립,기존(원)교,특별/광역시,19460914,21941 ,인천광역시 연수구 청량로 176 . (옥련동. 축현초등학교),032-834-6182,032-834-8493,http://ch.icees.kr,258,1,24,20728,20594,134,0,0,0,0,0,10750000,8800000,1950000,10.8,80.3
2025,인천,연수구,동부,초등학교,,초등학교,인천신송초등학교,233021601,본교,공립,기존(원)교,특별/광역시,20060301,21996 ,인천광역시 연수구 해돋이로56번길 28 (송도동. 신송초등학교),032-858-0940,032-858-0939,http://sse.icees.kr,472,1,50,31087,30662,425,0,0,1,1,0,21996000,9896000,12100000,9.4,65.9
2025,인천,연수구,동부,초등학교,,초등학교,인천함박초등학교,233021620,본교,공립,기존(원)교,특별/광역시,19980301,21922 ,인천광역시 연수구 함박뫼로 87. 함박초등학교 (연수동.함박초등학교),032-821-0432,032-821-0435,http://hambak.icees.kr,454,1,50,19773,19669,104,0,0,1,1,0,12643000,9613000,3030000,9.1,43.6
2025,인천,연수구,동부,초등학교,,초등학교,인천해송초등학교,233021630,본교,공립,기존(원)교,특별/광역시,20070901,22000 ,인천광역시 연수구 인천타워대로54번길 46 . 인천해송초등학교 (송도동),032-833-0873,032-833-0942,http://hse.icees.kr,555,1,33,21216,20715,501,0,0,1,1,0,10980000,9680000,1300000,16.8,38.2
2025,인천,연수구,동부,초등학교,,초등학교,인천송명초등학교,233021632,본교,공립,기존(원)교,특별/광역시,20140301,21986 ,인천광역시 연수구 송도교육로 19 (송도동),032-830-7500,032-830-7599,http://ism.icees.kr,1173,1,50,24326,24165,161,1,1,0,0,0,25760000,19860000,5900000,23.5,20.7
2025,인천,연수구,동부,초등학교,,초등학교,인천미송초등학교,233021633,본교,공립,기존(원)교,특별/광역시,20190301,22017 ,인천광역시 연수구 아카데미로 667 (송도동. 인천미송초등학교),032-509-1000,032-509-1015,http://misong.icees.kr/,1554,1,90,15794,15744,50,0,0,0,0,0,30800000,25500000,5300000,17.3,10.2
2025,인천,연수구,동부,초등학교,,초등학교,인천은송초등학교,233021634,본교,공립,기존(원)교,특별/광역시,20200301,22019 ,인천광역시 연수구 센트럴로 460 (송도동. 인천은송초등학교),032-510-7522,032-858-7162,http://ies.icees.kr,1502,1,68,12140,12116,24,0,0,1,1,0,28770000,21930000,6840000,22.1,8.1
2025,인천,연수구,동부,초등학교,,초등학교,인천송담초등학교,233021664,본교,공립,기존(원)교,특별/광역시,20210301,22017 ,인천광역시 연수구 아카데미로 627 (송도동. 인천송담초등학교),032-456-7000,032-858-9211,http://songdam.icees.kr,913,1,128,13152,13152,0,0,0,1,1,0,21050000,18000000,3050000,7.1,14.4
2025,인천,연수구,동부,초등학교,,초등학교,인천박문초등학교,233021800,본교,사립,기존(원)교,특별/광역시,19000901,21970 ,인천광역시 연수구 봉재산로 138-22 (동춘동.박문초등학교),032-810-8500,032-810-8599,http://bakmun.icees.kr,493,1,30,24277,23434,843,0,0,0,0,0,19460000,13000000,6460000,16.4,49.2
2025,인천,미추홀구,남부,초등학교,,초등학교,인천용학초등학교,231021100,본교,공립,기존(원)교,특별/광역시,20160901,22188 ,인천광역시 미추홀구 용정공원로83번길 9 . 인천용학초등학교 (용현동.인천 용학초등학교),032-627-6300,032-886-9717,http://yh.icees.kr,1192,1,120,17068,16854,214,1,1,0,0,0,21400000,15000000,6400000,9.9,14.3
2025,인천,미추홀구,남부,초등학교,,초등학교,인천관교초등학교,231021124,본교,공립,기존(원)교,특별/광역시,19870301,22240 ,인천광역시 미추홀구 인하로 414 . 인천관교초등학교 (관교동. 인천관교초등학교),032-434-0492,032-434-3763,http://kwankyo.icees.kr,431,1,56,25173,24879,294,0,0,1,0,1,15030000,10480000,4550000,7.7,58.4
2025,인천,미추홀구,남부,초등학교,,초등학교,인천남부초등학교,231021164,본교,공립,기존(원)교,특별/광역시,19780302,22214 ,인천광역시 미추홀구 인주대로366번길 22 (주안동. 남부초등학교),032-629-1084,032-865-5789,http://inambu.icees.kr,349,1,52,18695,18145,550,0,0,1,1,0,12166000,9800000,2366000,6.7,53.6
2025,인천,미추홀구,남부,초등학교,,초등학교,인천대화초등학교,231021188,본교,공립,기존(원)교,특별/광역시,19940301,22116 ,인천광역시 미추홀구 석정로301번길 13 (도화동. 대화초등학교),032-867-0046,032-867-1356,http://daehwa.icees.kr/main.do,366,1,27,14017,13908,109,1,1,0,0,0,10543000,9443000,1100000,13.6,38.3
2025,인천,미추홀구,남부,초등학교,,초등학교,인천도화초등학교,231021204,본교,공립,기존(원)교,특별/광역시,19460924,22165 ,인천광역시 미추홀구 경인로 242 (도화동. 도화초등학교),032-874-2585,032-865-6134,http://idohwaes.icees.kr/main.do,843,1,33,18478,18221,257,0,0,1,1,0,22500000,19200000,3300000,25.5,21.9
2025,인천,미추홀구,남부,초등학교,,초등학교,인천문학초등학교,231021268,본교,공립,기존(원)교,특별/광역시,19170429,22233 ,인천광역시 미추홀구 매소홀로 553 (문학동. 문학초등학교),032-425-2801,032-435-0367,http://munhak.icees.kr,551,1,39,27664,27125,539,0,0,0,0,0,16920000,9600000,7320000,14.1,50.2
2025,인천,미추홀구,남부,초등학교,,초등학교,인천백학초등학교,231021276,본교,공립,기존(원)교,특별/광역시,19900301,22226 ,인천광역시 미추홀구 매소홀로446번길 25 (학익동. 백학초등학교),032-868-6778,032-867-1851,http://baekhak.icees.kr,297,1,20,21849,21641,208,0,0,1,1,0,11800000,10000000,1800000,14.9,73.6
2025,인천,미추홀구,남부,초등학교,,초등학교,인천서화초등학교,231021300,본교,공립,기존(원)교,특별/광역시,19670302,22114 ,인천광역시 미추홀구 송림로 250 (도화동. 서화초등학교),032-868-9234,032-868-9237,http://shwa.icees.kr,1341,1,26,18779,18609,170,1,1,0,0,0,33324000,26724000,6600000,51.6,14
2025,인천,미추홀구,남부,초등학교,,초등학교,인천석암초등학교,231021308,본교,공립,기존(원)교,특별/광역시,19690301,22134 ,인천광역시 미추홀구 주안동로 46 (주안동. 석암초등학교),032-622-0506,032-428-6645,http://www.seokam.icees.kr/main.do,902,1,28,20761,20655,106,1,1,0,0,0,27690000,20500000,7190000,32.2,23
2025,인천,미추홀구,남부,초등학교,,초등학교,인천숭의초등학교,231021356,본교,공립,기존(원)교,특별/광역시,19371210,22163 ,인천광역시 미추홀구 장천로 99 (숭의동. 숭의초등학교),032-887-9011,032-887-9017,http://www.soongwi.icees.kr,1154,1,60,28360,27884,476,0,0,0,0,0,26000000,22000000,4000000,19.2,24.6
2025,인천,미추홀구,남부,초등학교,,초등학교,인천승학초등학교,231021364,본교,공립,기존(원)교,특별/광역시,19920301,22241 ,인천광역시 미추홀구 주승로 259 (관교동. 승학초등학교),032-432-9775,032-426-9854,http://shak26.icees.kr,341,1,48,18599,18485,114,0,0,1,1,0,11400000,10000000,1400000,7.1,54.5
2025,인천,미추홀구,남부,초등학교,,초등학교,인천용일초등학교,231021428,본교,공립,기존(원)교,특별/광역시,19621105,22208 ,인천광역시 미추홀구 인주대로 244 (용현동. 용일초등학교),032-629-0811,032-629-0813,http://yongil.icees.kr,366,1,36,20859,20628,231,1,1,0,0,0,11900000,10100000,1800000,10.2,57
2025,인천,미추홀구,남부,초등학교,,초등학교,인천용정초등학교,231021436,본교,공립,기존(원)교,특별/광역시,19730308,22168 ,인천광역시 미추홀구 독정안길 26 (숭의동. 인천용정초등학교),032-868-2384,032-876-6133,http://inyj.icees.kr/main.do,214,1,31,15407,15407,0,0,0,1,1,0,10300000,9200000,1100000,6.9,72
2025,인천,미추홀구,남부,초등학교,,초등학교,인천용현초등학교,231021444,본교,공립,기존(원)교,특별/광역시,19531101,22187 ,인천광역시 미추홀구 낙섬동로 83 (용현동. 용현초등학교),032-629-0597,032-883-6871,http://iyh.icees.kr,1403,1,50,32811,32683,128,1,1,0,0,0,27600000,22000000,5600000,28.1,23.4
2025,인천,미추홀구,남부,초등학교,,초등학교,인천용현남초등학교,231021452,본교,공립,기존(원)교,특별/광역시,19850301,22189 ,인천광역시 미추홀구 매소홀로 133 (용현동. 인천용현남초등학교),032-884-8468,032-881-4124,http://yhn.icees.kr/,1149,1,23,28943,28718,225,1,1,0,0,0,24850000,19450000,5400000,50,25.2
2025,인천,미추홀구,남부,초등학교,,초등학교,인천인주초등학교,231021475,본교,공립,기존(원)교,특별/광역시,19990901,22222 ,인천광역시 미추홀구 매소홀로475번길 53 (학익동. 인천인주초등학교),032-627-8969,032-875-2688,http://inju-i.icees.kr,418,1,36,23367,23137,230,1,1,0,0,0,17550000,13000000,4550000,11.6,55.9
2025,인천,미추홀구,남부,초등학교,,초등학교,인천주안초등학교,231021500,본교,공립,기존(원)교,특별/광역시,19340601,22156 ,인천광역시 미추홀구 남주길69번길 16 (주안동. 주안초등학교),032-629-0245,032-438-1405,http://juan.icees.kr,869,1,31,22719,22361,358,0,0,1,1,0,19700000,15900000,3800000,28,26.1
2025,인천,미추홀구,남부,초등학교,,초등학교,인천주안남초등학교,231021510,본교,공립,기존(원)교,특별/광역시,19840927,22228 ,인천광역시 미추홀구 인주대로434번길 11 (주안동. 주안남초등학교),032-424-7247,032-438-9662,http://juannam.icees.kr/,426,1,40,21947,21706,241,1,1,0,0,0,15800000,11000000,4800000,10.7,51.5
2025,인천,미추홀구,남부,초등학교,,초등학교,인천주안북초등학교,231021516,본교,공립,기존(원)교,특별/광역시,19830301,22126 ,인천광역시 미추홀구 석정로375번길 14 (주안동. 인천 주안북초등학교),032-867-3160,032-867-8026,http://jab.icees.kr/,362,1,60,19579,19576,3,0,0,1,1,0,11240000,9240000,2000000,6,54.1
2025,인천,미추홀구,남부,초등학교,,초등학교,인천학익초등학교,231021548,본교,공립,기존(원)교,특별/광역시,19390410,22211 ,인천광역시 미추홀구 한나루로403번길 122 (학익동. 학익초등학교),032-629-0430,032-865-5795,http://hagik.icees.kr,369,1,40,18699,18581,118,1,1,0,0,0,16150000,12000000,4150000,9.2,50.7
2025,인천,미추홀구,남부,초등학교,,초등학교,인천연학초등학교,231021556,본교,공립,기존(원)교,특별/광역시,19830301,22222 ,인천광역시 미추홀구 주승로 20 (학익동. 연학초등학교),032-873-1591,032-873-0564,http://yeonhak.icees.kr/main.do,371,1,30,22215,21854,361,1,1,0,0,0,16437000,10457000,5980000,12.4,59.9
