교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세모집정원수,4세모집정원수,5세모집정원수,혼합모집정원수,특수학급모집정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도,
인천광역시교육청,강화교육지원청,송해초등학교병설유치원,공립(병설),함환웅,함환웅,19810301,19810301,인천광역시 강화군 전망대로 93-12,032-550-5925,032-934-9718,http://songhae.icees.kr,08시40분~17시30분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,4,0,37.7704293,126.4592289,
인천광역시교육청,강화교육지원청,양사초등학교병설유치원,공립(병설),김병철,김병철,19820301,19820301,인천광역시 강화군 덕하로 145,032-627-5554,032-933-9276,http://ys.icees.kr/main.do,08시40분~18시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,3,0,37.80450143,126.420566,
인천광역시교육청,강화교육지원청,잠두유치원,사립(법인),이철,박영미,19640303,19640405,인천광역시 강화군 청하동길 36,032-934-9420,032-934-9424, ,09시00분~19시00분,1,1,1,0,0,110,15,19,20,0,0,15,19,11,0,0,37.74489516,126.4819209,
인천광역시교육청,강화교육지원청,코끼리유치원,사립(법인),김계성,이지현,19910225,19910225,인천광역시 강화군 충렬사로 52-2,032-934-7859,032-934-2959, ,07시30분~19시00분,2,2,2,0,0,132,30,33,36,0,0,19,32,32,0,0,37.73687764,126.4821144,
인천광역시교육청,강화교육지원청,하점초등학교병설유치원,공립(병설),나인태,나인태,19810301,19810301,인천광역시 강화군 강화대로 1190,032-627-4996,032-627-5000,http://hajeom.icees.kr/main.do,08시30분~17시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,5,0,37.77415761,126.4129788,
인천광역시교육청,강화교육지원청,합일초등학교병설유치원,공립(병설),김미자,김미자,19870301,19870309,인천광역시 강화군 합일길 3,032-627-3973,032-934-9538,http://www.habil.icees.kr ,08시30분~17시30분,0,0,0,1,1,15,0,0,0,11,4,0,0,0,6,4,37.74485437,126.48246,
인천광역시교육청,남부교육지원청,건영유치원,사립(법인),지민혜,최성희,20120307,20120307,인천광역시 미추홀구 인하로221번길 19,032-866-6854,032-714-3795, ,09시00분~19시00분,3,4,3,0,0,215,54,89,72,0,0,50,87,67,0,0,37.4493506,126.6725892,
인천광역시교육청,남부교육지원청,국현유치원,사립(사인),노국환,최장순,20120307,20120307,인천광역시 미추홀구 미추홀대로597번길 42,032-428-6639,032-438-6639, ,09시00분~19시00분,3,3,4,0,0,229,60,69,100,0,0,47,67,87,0,0,37.45101979,126.6772203,
인천광역시교육청,남부교육지원청,그림나라유치원,사립(사인),최용주,최현아,20070305,20070305,인천광역시 미추홀구 소성로332번길 10,032-424-4088,032-424-4088, ,09시00분~19시00분,2,2,2,0,0,160,32,50,54,0,0,19,31,45,0,0,37.4370892,126.6838196,
인천광역시교육청,남부교육지원청,금호유치원,사립(사인),노철현,김은희,20001228,20001228,인천광역시 미추홀구 매소홀로 54,032-891-0188,032-891-0189, ,09시00분~18시30분,2,3,2,0,0,142,37,56,49,0,0,37,56,49,0,0,37.45034214,126.6318707,
인천광역시교육청,남부교육지원청,노벨유치원,사립(사인),유향자,유향자,19890112,19890112,인천광역시 미추홀구 낙섬중로 74,032-884-1059,032-888-7400, ,09시00분~19시00분,1,1,1,0,0,105,18,30,28,0,0,18,30,28,0,0,37.45422759,126.6397403,
인천광역시교육청,남부교육지원청,다솜유치원,사립(사인),최덕순,이수정,19890301,19890301,인천광역시 미추홀구 학익소로23번길 11,032-862-1600,032-874-9596,http://www.dasomi.net,09시30분~19시00분,1,1,1,0,0,280,11,18,20,0,0,6,18,20,0,0,37.44559584,126.6697987,
인천광역시교육청,남부교육지원청,대청초등학교병설유치원,공립(병설),노기택,노기택,19810310,19810310,인천광역시 옹진군 대청로244번길 110,032-627-1389, ,http://dce.icees.kr,08시40분~17시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,2,0,37.83288072,124.6959348,
인천광역시교육청,남부교육지원청,덕적초등학교병설유치원,공립(병설),유명선,유명선,19810310,19810310,인천광역시 옹진군 덕적남로 15,032-454-0575,032-832-9305,http://deokjeok.icehs.kr,08시30분~18시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,2,0,37.22577495,126.1475736,
인천광역시교육청,남부교육지원청,도담유치원,사립(사인),최상균,조윤희,19910201,19910201,인천광역시 미추홀구 인하로 319,032-422-5100, , ,09시00분~13시00분,1,1,1,0,0,140,15,20,20,0,0,0,0,0,0,0,37.4481313,126.6837682,
인천광역시교육청,남부교육지원청,동원유치원,사립(사인),박용옥,최민영,19801231,19801231,인천광역시 미추홀구 인하로235번길 27,032-866-2657,032-876-2657, ,09시00분~19시00분,2,3,2,0,0,270,48,84,60,0,0,48,74,59,0,0,37.44958034,126.6741201,
인천광역시교육청,남부교육지원청,뒤나미스유치원,사립(사인),박경선,박경선,20141125,20150301,인천광역시 중구 오작로 116,032-752-9897,032-715-4310, ,08시00분~19시00분,4,5,5,0,0,418,100,130,140,0,0,100,130,140,0,0,37.49963413,126.5670097,
인천광역시교육청,남부교육지원청,무지개유치원,사립(사인),정부자,박행자,20111206,20111206,인천광역시 중구 눈돌로 35,032-751-3008,032-751-3006,https://www.mujigaekinder.com/main/main.html,09시00분~19시00분,3,3,3,0,0,244,69,75,84,0,0,69,75,84,0,0,37.49210783,126.4844801,
인천광역시교육청,남부교육지원청,미주유치원,사립(사인),최성모,권숙미,19921111,19921111,인천광역시 미추홀구 석정로461번길 19,032-875-3220,032-872-8855,http://mijukids.com,09시00분~19시00분,2,3,3,0,0,200,50,72,78,0,0,48,58,72,0,0,37.46709427,126.6865693,
인천광역시교육청,남부교육지원청,밀알유치원,사립(법인),최칠식,김주연,20150924,20160303,인천광역시 미추홀구 장고개로42번길 42,032-876-3313,032-876-3316,http://millal.co.kr,09시00분~19시00분,3,3,3,0,0,221,69,77,75,0,0,68,76,75,0,0,37.4700519,126.6689975,
인천광역시교육청,남부교육지원청,박문유치원,사립(법인),(재)인천교구천주교회유지재단,김수연,19370301,19370301,인천광역시 중구 우현로50번길 2,032-762-7614,032-765-5090,https://www.parkmun.com/,07시00분~19시00분,0,0,0,6,0,168,0,0,0,144,0,0,0,0,145,0,37.47108306,126.629934,
인천광역시교육청,남부교육지원청,반디유치원,사립(사인),황숙연,황숙연,20080117,20080302,인천광역시 미추홀구 매소홀로 340,032-875-6767,032-875-6767,http://bandichild.com,09시00분~19시00분,2,2,2,0,0,171,40,52,57,0,0,40,52,57,0,0,37.44070696,126.6575763,
인천광역시교육청,남부교육지원청,백령성모유치원,사립(법인),(재)인천교구천주교회유지재단,강문정,19600302,19950322,인천광역시 옹진군 백령로254번길 66,032-836-1223,032-836-8009,http://cafe.daum.net/bsm1223,08시00분~19시00분,1,0,0,1,0,70,20,0,0,35,0,5,0,0,22,0,37.97278615,124.7198468,
인천광역시교육청,남부교육지원청,북포초등학교병설유치원,공립(병설),서정민,서정민,19820302,19820302,인천광역시 옹진군 가을길 117,032-836-0208,032-836-0209,http://bukpo.icees.kr,08시40분~17시00분,0,0,1,0,0,19,0,0,19,0,0,0,0,5,0,0,37.95881414,124.6608253,
인천광역시교육청,남부교육지원청,산새소리유치원,사립(사인),임효정,임효정,20110315,20110315,인천광역시 동구 송림로117번길 6,032-212-1577,032-777-2469, ,09시00분~19시00분,1,1,1,0,0,217,15,20,20,0,0,4,12,8,0,0,37.47713351,126.6477041,
인천광역시교육청,남부교육지원청,성바오로유치원,사립(법인),남대레사,남대레사,19901110,19910301,인천광역시 미추홀구 경인남길102번길 50,032-875-6204,032-875-6205, ,09시00분~18시00분,0,0,0,6,0,210,0,0,0,210,0,0,0,0,117,0,37.4523731,126.6598523,
인천광역시교육청,남부교육지원청,세종유치원,사립(사인),이정기,조규정,19880813,19880813,인천광역시 미추홀구 낙섬서로 77,032-882-1898,032-888-3600, ,07시00분~22시00분,2,1,1,0,0,107,43,29,35,0,0,42,29,35,0,0,37.45593735,126.637624,
인천광역시교육청,남부교육지원청,소명유치원,사립(사인),김윤희,김윤희,19881231,19881231,인천광역시 미추홀구 낙섬동로 71-1,032-884-7780,032-891-3600,http://www.smy.kr,09시00분~19시00분,2,2,3,0,0,180,40,55,85,0,0,34,54,82,0,0,37.45218468,126.6410398,
인천광역시교육청,남부교육지원청,솔빛유치원,사립(사인),김소애,곽은희,20101216,20101216,인천광역시 동구 화수로 2,032-777-5021,032-765-6060, ,09시00분~19시00분,2,2,2,0,0,168,54,52,54,0,0,25,46,52,0,0,37.48030616,126.636645,
인천광역시교육청,남부교육지원청,솔샘유치원,사립(사인),이병희,이병희,20080604,20080604,인천광역시 미추홀구 석산로 38,032-429-1900,032-429-1902,http://www.solsam.kg.kr,09시00분~19시00분,3,3,2,0,0,156,52,60,44,0,0,47,44,44,0,0,37.4618494,126.696396,
인천광역시교육청,남부교육지원청,송현유치원,사립(사인),오주현,송한얼,19910228,19910228,인천광역시 동구 화수로 40,032-764-8078, , ,09시00분~19시00분,2,1,2,0,0,234,36,50,28,0,0,24,47,22,0,0,37.48337539,126.6348183,
인천광역시교육청,남부교육지원청,숭의유치원,사립(법인),재단법인 기독교대한감리회유지재단,함미영,19660214,19660214,인천광역시 미추홀구 독배로 485,032-885-3399,032-885-3343,http://soongeui.kidis.co.kr/,09시00분~19시00분,1,1,2,0,0,88,23,26,39,0,0,23,26,38,0,0,37.46064213,126.6450328,
인천광역시교육청,남부교육지원청,신동아유치원,사립(사인),차현숙,차현숙,19920827,19930301,인천광역시 미추홀구 매소홀로475번길 18,032-872-4348, , ,07시00분~19시00분,1,1,1,0,0,150,13,18,20,0,0,6,6,14,0,0,37.4410578,126.676924,
인천광역시교육청,남부교육지원청,연평초등학교병설유치원,공립(병설),이형자,이형자,19800301,19800301,인천광역시 옹진군 연평로137번길 101,032-617-1771,032-831-2159,http://ypschool.icehs.kr,08시50분~18시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,11,0,37.66432188,125.7012726,
인천광역시교육청,남부교육지원청,연흥유치원,사립(사인),백남흥,윤경희,19800118,19800118,인천광역시 미추홀구 석정로434번길 12,032-866-2713,032-863-7482,http://yunhungkids.kidis.co.kr/,09시30분~19시00분,2,1,2,0,0,146,32,25,52,0,0,30,24,36,0,0,37.46576282,126.6832797,
인천광역시교육청,남부교육지원청,영종유치원,공립(단설),권희정,권희정,20090301,20090301,인천광역시 중구 백운로 57-25,032-747-1082,032-747-1084,http://yeongjong.icekg.kr/,09시00분~19시00분,4,4,4,0,3,204,48,68,76,0,12,46,68,73,0,11,37.49918613,126.5500423,
인천광역시교육청,남부교육지원청,영흥초등학교병설유치원,공립(병설),주경일,주경일,19810301,19810301,인천광역시 옹진군 영흥로 440-8,032-886-0432, , ,08시30분~18시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,6,0,37.25471386,126.4670302,
인천광역시교육청,남부교육지원청,예원유치원,사립(사인),조수옥,조수옥,20150429,20150901,인천광역시 동구 송현로 63-3,032-764-1238, , ,09시30분~17시30분,1,1,1,0,0,74,16,22,22,0,0,5,12,19,0,0,37.48094481,126.6383179,
인천광역시교육청,남부교육지원청,용화유치원,사립(법인),박종삼,한경아,20001124,20010303,인천광역시 미추홀구 주염로 29,032-875-6543,032-875-2797,http://yonghwa.kidis.co.kr,09시00분~19시00분,0,2,3,0,0,192,0,78,84,0,0,0,40,62,0,0,37.46820178,126.6818333,
인천광역시교육청,남부교육지원청,유원유치원,사립(사인),임국재,안정옥,19910301,19910301,인천광역시 미추홀구 낙섬중로 102,032-883-9591,032-887-9591, ,07시00분~22시00분,2,1,1,0,0,95,42,26,27,0,0,40,26,27,0,0,37.45577215,126.6421718,
인천광역시교육청,남부교육지원청,이튼유치원,사립(사인),최안섭,김소희,20141216,20150302,인천광역시 중구 남디로안길 34-7,032-752-7110,032-752-7160, ,08시00분~18시00분,4,4,4,0,0,269,78,92,99,0,0,78,92,99,0,0,37.4813013,126.519963,
인천광역시교육청,남부교육지원청,인천경원초등학교병설유치원,공립(병설),이정자,이정자,20080301,20080301,인천광역시 미추홀구 경인로 511,326292142,032-424-1693,http://www.igwon.icees.kr,08시40분~19시00분,0,1,1,0,0,38,0,18,20,0,0,0,8,13,0,0,37.46129074,126.6956922,
인천광역시교육청,남부교육지원청,인천공항유치원,공립(단설),홍미란,홍미란,20130711,20130901,인천광역시 중구 신도시남로 43,032-751-8896,032-751-2213,http://gonghang-kg.icekg.kr,09시00분~19시00분,1,2,2,0,1,89,13,36,40,0,4,13,21,26,0,4,37.49186312,126.4860013,
인천광역시교육청,남부교육지원청,인천공항초등학교신도분교장병설유치원,공립(병설),신선자,신선자,20050301,20050301,인천광역시 옹진군 신도로896번길 18-31,032-627-9740,032-752-8954,http://gonghang-e.icees.kr/main.do,08시40분~16시40분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,3,0,37.52068944,126.4433371,
인천광역시교육청,남부교육지원청,인천대화초등학교병설유치원,공립(병설),원용준,원용준,20130101,20130311,인천광역시 미추홀구 석정로301번길 13,032-629-1483,032-867-0047,http://daehwa.icees.kr,08시30분~18시30분,0,0,1,1,0,36,0,0,20,16,0,0,0,9,6,0,37.46902019,126.6685319,
인천광역시교육청,남부교육지원청,인천도화초등학교병설유치원,공립(병설),조성철,조성철,20130301,20130314,인천광역시 미추홀구 경인로 242,032-874-2585,032-865-6137, ,08시30분~19시00분,0,1,1,0,1,42,0,18,20,0,4,0,10,15,0,4,37.46315551,126.6678187,
인천광역시교육청,남부교육지원청,인천만석초등학교병설유치원,공립(병설),정수성,정수성,19850210,19850210,인천광역시 동구 제물량로 412,032-627-4638, ,http://www.manseok.icees.kr/main.do,08시40분~18시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,2,0,37.48419403,126.6285929,
인천광역시교육청,남부교육지원청,인천문학초등학교병설유치원,공립(병설),김난령,김난령,19970311,19970311,인천광역시 미추홀구 매소홀로 553,032-629-0153,032-435-0367,http://munhak.icees.kr/,08시40분~19시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.43953284,126.6825262,
인천광역시교육청,남부교육지원청,인천별빛초등학교병설유치원,공립(병설),이현선,이현선,20200901,20200901,인천광역시 중구 은하수로 402,032-455-8788, ,http://starlight.icees.kr,08시40분~19시00분,1,1,2,0,1,71,13,16,38,0,4,13,16,38,0,4,37.49085216,126.5508076,
인천광역시교육청,남부교육지원청,인천삼목초등학교장봉분교장병설유치원,공립(병설),이항녕,이항녕,19810301,19810301,인천광역시 옹진군 장봉로 553,032-746-8055,032-746-8054, ,08시30분~17시30분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,2,0,37.53413004,126.3369052,
인천광역시교육청,남부교육지원청,인천서림초등학교병설유치원,공립(병설),백영미,백영미,19950301,19950301,인천광역시 동구 금곡로 105,032-629-1757,032-629-1772,http://seorim.icees.kr/main.do,08시30분~19시00분,0,1,1,0,0,38,0,18,20,0,0,0,5,5,0,0,37.47538014,126.6471692,
인천광역시교육청,남부교육지원청,인천서화초등학교병설유치원,공립(병설),홍순삼,홍순삼,19870301,19870301,인천광역시 미추홀구 송림로 250,032-629-0928,032-868-9237,http://shwa.icees.kr,08시40분~19시00분,1,1,1,0,0,51,13,18,20,0,0,6,5,11,0,0,37.47398611,126.6608134,
인천광역시교육청,남부교육지원청,인천서흥초등학교병설유치원,공립(병설),김동위,김동위,19971121,19980306,인천광역시 동구 샛골로 189,032-629-0043,032-629-0041,http://seoheung.icees.kr/main.do,08시40분~18시00분,0,1,1,0,0,38,0,18,20,0,0,0,4,6,0,0,37.47952711,126.6446593,
인천광역시교육청,남부교육지원청,인천송림초등학교병설유치원,공립(병설),전승배,전승배,19880315,19880315,인천광역시 동구 화도진로 10,032-458-9600, , ,08시50분~19시00분,0,0,1,1,1,36,0,0,18,14,4,0,0,7,5,4,37.47377103,126.6374351,
인천광역시교육청,남부교육지원청,인천송현초등학교병설유치원,공립(병설),윤홍표,윤홍표,19961109,19970310,인천광역시 동구 송화로 45,032-629-1924,032-629-1925,http://ish.icees.kr/,08시40분~18시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,4,0,37.48208663,126.6333642,
인천광역시교육청,남부교육지원청,인천숭의초등학교병설유치원,공립(병설),박병춘,박병춘,19950301,19950301,인천광역시 미추홀구 장천로 99,032-629-0290,032-887-9017,http://soongwi.icees.kr/main.do,08시30분~19시00분,0,0,1,0,0,20,0,0,20,0,0,0,0,15,0,0,37.46372037,126.6557076,
인천광역시교육청,남부교육지원청,인천신선초등학교병설유치원,공립(병설),이영숙,이영숙,20030301,20030301,인천광역시 중구 축항대로291번길 33,032-650-0820,032-650-0807,http://sinsun.icees.kr,08시40분~18시00분,1,1,1,0,0,51,13,18,20,0,0,5,9,13,0,0,37.45138742,126.6275639,
인천광역시교육청,남부교육지원청,인천신흥초등학교병설유치원,공립(병설),김용주,김용주,20191101,20191101,인천광역시 중구 제물량로 134,032-510-7846, ,http://icsh.icees.kr,08시50분~19시00분,0,0,1,1,0,36,0,0,20,16,0,0,0,9,11,0,37.47024571,126.6282027,
인천광역시교육청,남부교육지원청,인천연안초등학교병설유치원,공립(병설),배상경,배상경,20190301,20190301,인천광역시 중구 연안부두로33번길 53,032-883-6794, ,http://yonan.icees.kr/main.do,08시40분~18시30분,1,1,1,0,0,51,13,18,20,0,0,9,11,14,0,0,37.45368752,126.6076254,
인천광역시교육청,남부교육지원청,인천연학초등학교병설유치원,공립(병설),이은혜,이은혜,20191101,20191101,인천광역시 미추홀구 주승로 20,032-629-1124, ,http://yeonhak.icees.kr/,08시30분~19시00분,1,1,1,0,0,51,13,18,20,0,0,11,8,17,0,0,37.44356467,126.6719174,
인천광역시교육청,남부교육지원청,인천영종초등학교병설유치원,공립(병설),전정심,전정심,20120910,20120910,인천광역시 중구 하늘달빛로 133,032-627-9881,032-746-9429,http://yj.icees.kr/main.do,09시00분~19시00분,1,1,1,0,0,51,13,18,20,0,0,13,18,20,0,0,37.48876737,126.5529329,
인천광역시교육청,남부교육지원청,인천용유초등학교병설유치원,공립(병설),이재원,이재원,19810301,19810301,인천광역시 중구 남북로87번길 4,032-746-7595,032-746-7597,http://www.yongyu.icees.kr,08시40분~18시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,8,0,37.44825174,126.4123737,
인천광역시교육청,남부교육지원청,인천용일초등학교병설유치원,공립(병설),박미경,박미경,19950301,19950301,인천광역시 미추홀구 인주대로 244,032-629-0873,032-629-0878,http://yongil.icees.kr/main.do,08시50분~18시30분,0,1,1,0,0,38,0,18,20,0,0,0,3,12,0,0,37.45245028,126.6633619,
인천광역시교육청,남부교육지원청,인천용정초등학교병설유치원,공립(병설),박태규,박태규,19870218,19870218,인천광역시 미추홀구 독정안길 26,032-629-0987,032-876-6133,http://inyj.icees.kr,08시30분~18시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,16,0,37.45943725,126.6572348,
인천광역시교육청,남부교육지원청,인천용학초등학교병설유치원,공립(병설),곽재희,곽재희,20160901,20160901,인천광역시 미추홀구 용정공원로83번길 9,032-627-6311,032-886-9717,http://www.yh.icees.kr,08시50분~19시00분,1,2,2,0,0,89,13,36,40,0,0,13,30,35,0,0,37.44676348,126.6434992,
인천광역시교육청,남부교육지원청,인천용현남초등학교자월분교장병설유치원,공립(병설),박형원,박형원,19850301,19850315,인천광역시 옹진군 자월서로 177,032-831-7419,032-831-7420,http://yhn.icees.kr,08시30분~18시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.25382064,126.3064722,
인천광역시교육청,남부교육지원청,인천주안초등학교병설유치원,공립(병설),고준명,고준명,20171023,20180302,인천광역시 미추홀구 남주길69번길 16,032-458-9919, , ,08시40분~18시00분,0,1,2,0,1,42,0,18,20,0,4,0,6,17,0,4,37.45465347,126.6738978,
인천광역시교육청,남부교육지원청,인천중산초등학교병설유치원,공립(병설),이영민,이영민,20190301,20190301,인천광역시 중구 두미포로 100,032-509-3600,032-509-3604,http://www.ijse.icees.kr,09시00분~19시00분,1,2,2,0,0,89,13,36,40,0,0,13,33,39,0,0,37.49471569,126.5653914,
인천광역시교육청,남부교육지원청,인천창영초등학교병설유치원,공립(병설),차건호,차건호,19950301,19950301,인천광역시 동구 우각로15번길 16,032-629-1975,032-764-2348,http://changyeong.icees.kr/main.do,08시30분~19시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,4,0,37.47186486,126.6394562,
인천광역시교육청,남부교육지원청,인천하늘초등학교병설유치원,공립(병설),최혜숙,최혜숙,20130901,20130913,인천광역시 중구 은하수로 294,032-745-6770,032-745-6710,http://sky.icees.kr,08시40분~19시00분,1,1,1,0,0,51,13,18,20,0,0,11,17,20,0,0,37.49792717,126.5579454,
인천광역시교육청,남부교육지원청,인천학익초등학교병설유치원,공립(병설),김형우,김형우,19870817,19870817,인천광역시 미추홀구 한나루로403번길 122,032-629-0429,032-866-7118, ,08시30분~18시00분,0,0,0,1,1,20,0,0,0,16,4,0,0,0,5,4,37.44655727,126.6582866,
인천광역시교육청,남부교육지원청,자유유치원,공립(단설),송정례,송정례,20020315,20020315,인천광역시 중구 자유공원로 105,032-777-1563,032-777-1561,http://jayu.icekg.kr,09시00분~19시00분,3,3,3,0,9,189,39,54,60,0,36,18,17,20,0,33,37.47838072,126.6223085,
인천광역시교육청,남부교육지원청,재능대학교부속유치원,사립(법인),김연희,김연희,19821231,19821231,인천광역시 동구 재능로 178,032-761-5000,032-762-3504,https://kids.jeiu.ac.kr,08시00분~19시00분,3,2,3,0,0,210,54,55,78,0,0,54,55,78,0,0,37.4748411,126.6502911,
인천광역시교육청,남부교육지원청,지영유치원,사립(사인),이인기,김명순,20070405,20070405,인천광역시 중구 도원로8번길 28,032-882-6161,032-891-9738, ,09시00분~19시00분,1,2,2,0,0,163,18,46,50,0,0,9,28,40,0,0,37.46443705,126.6377491,
인천광역시교육청,남부교육지원청,진흥유치원,사립(사인),이인순,장지현,19960304,19960304,인천광역시 미추홀구 주승로 109,032-425-0360,032-425-0360, ,07시00분~22시00분,1,2,2,0,0,127,23,54,50,0,0,21,51,31,0,0,37.4457371,126.6817826,
인천광역시교육청,남부교육지원청,참빛유치원,사립(사인),한만을,권혜림,20080301,20080301,인천광역시 미추홀구 수봉로135번길 31,032-882-9371,032-881-9371, ,09시00분~19시00분,1,2,2,0,0,144,20,40,40,0,0,7,28,32,0,0,37.45834004,126.6659619,
인천광역시교육청,남부교육지원청,초롱유치원,사립(사인),기순신,김미경,20130311,20130311,인천광역시 중구 영종대로27번길 6,751-8400,032-751-8510,https://cafe.naver.com/chokids,09시00분~19시00분,2,2,2,0,0,153,44,54,55,0,0,21,47,48,0,0,37.49675354,126.4829959,
인천광역시교육청,남부교육지원청,프라임건영유치원,사립(법인),박화자,박화자,20160627,20160701,인천광역시 미추홀구 남주길11번길 79,032-863-6854,032-714-3795,http://www.primeky.co.kr,09시00분~19시00분,1,2,2,0,0,122,18,46,46,0,0,14,35,44,0,0,37.45746615,126.6720455,
인천광역시교육청,남부교육지원청,하늘유치원,사립(사인),김옥린,오윤란,20030314,20030314,인천광역시 미추홀구 미추홀대로626번길 47,032-439-0071,031-439-0072,http://www.juansky.co.kr,09시00분~18시30분,1,1,1,0,0,68,17,23,28,0,0,12,26,28,0,0,37.45336864,126.6826661,
인천광역시교육청,남부교육지원청,한빛유치원,사립(사인),최미숙,최윤정,20120329,20120329,인천광역시 미추홀구 소성로 120,032-875-8008,032-875-8112,http://cafe.naver.com/hvkid,08시00분~19시00분,2,2,2,0,0,134,40,44,50,0,0,38,41,49,0,0,37.44250202,126.6608105,
인천광역시교육청,남부교육지원청,한울유치원,사립(사인),김경순,박미혜,20050301,20050301,인천광역시 동구 솔빛로 17,032-777-2007,032-777-2008, ,07시00분~22시00분,2,3,2,0,0,184,54,73,57,0,0,25,37,43,0,0,37.47681331,126.6353916,
인천광역시교육청,남부교육지원청,해님나라유치원,사립(사인),이상돈,박진숙,20030303,20030303,인천광역시 중구 은골로 42,032-752-7878, , ,09시00분~19시00분,3,2,3,0,0,224,61,51,83,0,0,61,51,83,0,0,37.4963934,126.4917094,
