"id","지표","단위","영역","자료종류","추가여부","초등확보","중등확보","고등확보","유치원확보","출처","해석조건"
"child_accident_nearest_m","가장 가까운 어린이 보행사고 다발지점 거리","m","safety","observation","기존","272","147","129","369","data_processed/context/accidents_incheon.json","2024 인천 11곳 기준"
"large_apt_500m","500m 안 대단지 아파트 수","개","development","observation","기존","272","0","0","0","data_processed/school_similar_schools_top5.csv","초등"
"large_apt_households_500m","500m 안 대단지 세대수","세대","development","observation","기존","272","0","0","0","data_processed/school_similar_schools_top5.csv","초등"
"redev_active","주변 진행·예정 정비사업 수","건","development","observation","기존","272","0","0","0","data_processed/school_priority.csv","초등"
"designations_current","현재 지정·지원사업 관측 수","건","designation","observation","기존","272","147","129","369","data_processed/context/school_designations.json","수집 공식 명단의 현재 기간 상태 기준. 2025년 등 이전 선정 사업도 지정기간이 현재이면 포함. 같은 사업명·유형이 여러 연도에 반복되면 최신 명단 한 건. 명단 미관측 0은 미지정 확정이 아님. 지원 자격·현재 실행·전체 사업 전수 여부 미확인."
"construction_nearest_m","가장 가까운 관측 착공·사용승인 기록 직선거리","m","safety","observation","신규","84","47","42","118","data_processed/context/facilities_construction.geojson","수집 지역 학교만 산출. 보유 3개 구의 주소 추정 좌표 중 최근접 기록; 현재 공사·실제 현장 위치 미확인."
"child_accident_count_500m","직선 500m 안 어린이 보행사고 다발지점 수","곳","safety","observation","신규","272","147","129","369","data_processed/context/accidents_incheon.json","2024 다발지역 중심점 원장 기준. 사고 건수·구역 중첩·현재 위험도가 아님."
"apartments_straight_500m","직선 500m 안 대단지 아파트 관측 수","곳","development","observation","신규","272","147","129","369","data_processed/large_apt_complexes_2025.csv","2025 원장 대표 좌표 기준. 출입구·학구·실거주 학생 수 미확인."
"apartment_households_straight_500m","직선 500m 안 관측 대단지 세대수","세대","development","observation","신규","272","147","129","369","data_processed/large_apt_complexes_2025.csv","원장 대표점이 500m 안인 단지 전체 세대수의 합. 실제 범위 안 세대·학생 수 아님. 세대수 결측 단지가 있으면 미산출."
"redevelopment_straight_500m","직선 500m 안 정비사업 관측 수","건","development","observation","신규","272","147","129","369","data_processed/redevelopment_geocoded.csv","원장 전체 진행단계 포함. 사업 대표점 기준이며 현재 진행·미래 입주 확정 수 아님."
"redevelopment_area_straight_500m","직선 500m 안 관측 정비사업 전체 면적","㎡","development","observation","신규","272","147","129","369","data_processed/redevelopment_geocoded.csv","대표점이 500m 안인 사업의 원장 전체 면적 합. 생활권과 겹친 면적 아님; 면적 결측 사업이 있으면 미산출."
"playgrounds_straight_500m","직선 500m 안 어린이 놀이시설 관측 수","곳","park","observation","신규","272","147","129","369","data_processed/geocoded_playground.csv","지오코딩된 시설 원장의 대표 좌표 기준. 도보 접근·개방·이용자격 미확인."
"designation_selected_2026","2026 선정·공시 명단의 현재 지정사업 수","건","designation","observation","신규","272","147","129","369","data_processed/context/school_designations.json","현재 지정기간인 명단 중 school_year가 2026인 기록만 집계. 과거 선정 후 계속 지정 중인 사업은 현재 지정사업 수에서 확인."
"scholarship_students_2026","2026 공시 장학금 수혜 인원","명","school","observation","신규","0","88","112","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"scholarship_amount_2026","2026 공시 장학금 금액","원","school","observation","신규","0","88","112","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"tuition_support_students_2026","2026 공시 학비 지원 인원","명","school","observation","신규","0","88","112","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"tuition_support_amount_2026","2026 공시 학비 지원 금액","원","school","observation","신규","0","88","112","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"creative_clubs_2026","2026 공시 창의적 체험활동 동아리 수","개","school","observation","신규","269","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"creative_club_students_2026","2026 공시 창의적 체험활동 동아리 참여 인원","명","school","observation","신규","269","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"voluntary_clubs_2026","2026 공시 학생 자율 동아리 수","개","school","observation","신규","269","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"voluntary_club_students_2026","2026 공시 학생 자율 동아리 참여 인원","명","school","observation","신규","269","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"afterschool_subject_programs_2026","2026 공시 방과후 교과 프로그램 수","개","school","observation","신규","271","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"afterschool_specialty_programs_2026","2026 공시 방과후 특기적성 프로그램 수","개","school","observation","신규","271","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"afterschool_subject_students_2026","2026 공시 방과후 교과 수강 인원","명","school","observation","신규","271","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"afterschool_specialty_students_2026","2026 공시 방과후 특기적성 수강 인원","명","school","observation","신규","271","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"afterschool_participants_2026","2026 공시 방과후학교 참여 인원","명","school","observation","신규","271","147","129","0","data_processed/education/school_public_indicators.json","공시연도와 실제 활동 기간은 다를 수 있음. 참여 인원끼리 합산하거나 재학생 수로 임의 비율을 만들지 않음. 미공시는 0 아님."
"grade1_students_2026","2026 1학년 재학생 수","명","school","observation","신규","271","147","129","0","data_processed/education/grade_cohort_scenarios.json","2026 학교알리미 학년별 관측. 초등 1~6학년, 중·고 1~3학년만 해당. 특수학급 등 별도 인원은 학년 합계와 다를 수 있음."
"grade2_students_2026","2026 2학년 재학생 수","명","school","observation","신규","271","147","129","0","data_processed/education/grade_cohort_scenarios.json","2026 학교알리미 학년별 관측. 초등 1~6학년, 중·고 1~3학년만 해당. 특수학급 등 별도 인원은 학년 합계와 다를 수 있음."
"grade3_students_2026","2026 3학년 재학생 수","명","school","observation","신규","271","147","129","0","data_processed/education/grade_cohort_scenarios.json","2026 학교알리미 학년별 관측. 초등 1~6학년, 중·고 1~3학년만 해당. 특수학급 등 별도 인원은 학년 합계와 다를 수 있음."
"grade4_students_2026","2026 4학년 재학생 수","명","school","observation","신규","271","0","0","0","data_processed/education/grade_cohort_scenarios.json","2026 학교알리미 학년별 관측. 초등 1~6학년, 중·고 1~3학년만 해당. 특수학급 등 별도 인원은 학년 합계와 다를 수 있음."
"grade5_students_2026","2026 5학년 재학생 수","명","school","observation","신규","271","0","0","0","data_processed/education/grade_cohort_scenarios.json","2026 학교알리미 학년별 관측. 초등 1~6학년, 중·고 1~3학년만 해당. 특수학급 등 별도 인원은 학년 합계와 다를 수 있음."
"grade6_students_2026","2026 6학년 재학생 수","명","school","observation","신규","271","0","0","0","data_processed/education/grade_cohort_scenarios.json","2026 학교알리미 학년별 관측. 초등 1~6학년, 중·고 1~3학년만 해당. 특수학급 등 별도 인원은 학년 합계와 다를 수 있음."
"high_graduates_2025","2025 고등학교 졸업자 수","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_advanced_2025","2025 고등학교 진학 등록자 수","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_published_progression_pct_2025","2025 고등학교 공시 진학률","%","school","observation","신규","0","0","127","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_employed_2025","2025 고등학교 취업자 수","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_military_2025","2025 고등학교 입대자 수","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_other_2025","2025 고등학교 기타 졸업 후 상황 인원","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_domestic_junior_college_2025","2025 고등학교 국내 전문대 진학자 수","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_domestic_university_2025","2025 고등학교 국내 대학 진학자 수","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_overseas_junior_college_2025","2025 고등학교 국외 전문대 진학자 수","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"high_overseas_university_2025","2025 고등학교 국외 대학 진학자 수","명","school","observation","신규","0","0","128","0","data_processed/education/school_progression.json","2025년 2월 졸업자 기준 KESS 공개 관측. 학교 품질·성취 순위가 아님. 기타는 재수·미확인 등 복합 상황이며 실패가 아님. 취업률 임의 산출 금지."
"graduates_2026","2026 졸업자 수","명","school","observation","신규","0","147","127","0","data_processed/education/school_progression.json","2026년 2월 졸업자 기준. 고등학교의 졸업 후 상황 미공개와 졸업자 수를 구분. 미공개 상태의 0은 확인 보류."
"middle_advanced_2026","2026 중학교 진학 등록자 수","명","school","observation","신규","0","147","0","0","data_processed/education/school_progression.json","2026 KESS 공개 관측. 고등학교 진학 상황 미공개 값을 대신 사용하지 않음."
"middle_progression_pct_2026","2026 중학교 공시 진학률","%","school","observation","신규","0","144","0","0","data_processed/education/school_progression.json","2026 KESS 공개 진학률. 졸업자 0이면 비율 미산출. 학교 품질·성취 순위가 아님."
"age_residents_straight_500m_2024","2024 직선 500m 해당 학교급 연령 인구 추정","명","trend","estimate","신규","0","134","122","330","data_processed/education/school_age_demand.json","해당 학교급 연령대의 2024 공간 배분 추정. 재학생·미래 수요가 아님. 학교 권역이 겹치므로 학교 간 합산 금지. 미확보 소계로 전체 추정을 대체하지 않음. 실제 출입구 접근·안전 미검증."
"age_residents_walkshed_500m_2024","2024 보행 도달권 500m 해당 학교급 연령 인구 추정","명","trend","estimate","신규","0","139","127","344","data_processed/education/school_age_demand.json","해당 학교급 연령대의 2024 공간 배분 추정. 재학생·미래 수요가 아님. 학교 권역이 겹치므로 학교 간 합산 금지. 미확보 소계로 전체 추정을 대체하지 않음. 실제 출입구 접근·안전 미검증."
"forecast_2027","2027 재학생 모형 예측","명","trend","forecast","신규","270","144","127","361","data_processed/education/analysis_dataset.json","현재 앱과 동일한 모형 예측. 실제 재학생이나 확정 수요가 아니며 학구·입주·전입전출을 직접 예측하지 않음. 장기 예측 검증 한계 있음."
"forecast_2028","2028 재학생 모형 예측","명","trend","forecast","신규","270","144","127","361","data_processed/education/analysis_dataset.json","현재 앱과 동일한 모형 예측. 실제 재학생이나 확정 수요가 아니며 학구·입주·전입전출을 직접 예측하지 않음. 장기 예측 검증 한계 있음."
"forecast_2030","2030 재학생 모형 예측","명","trend","forecast","신규","270","144","127","361","data_processed/education/analysis_dataset.json","현재 앱과 동일한 모형 예측. 실제 재학생이나 확정 수요가 아니며 학구·입주·전입전출을 직접 예측하지 않음. 장기 예측 검증 한계 있음."
"cohort_scenario_2029","2029 입학인원 유지 재학생 시나리오","명","trend","scenario","신규","271","147","129","0","data_processed/education/grade_cohort_scenarios.json","2026 기준 최신 1학년 입학인원 유지 가정. 선택된 주 예측모형이 아니며 장기 검증 미확보. 전입전출·학구 변화 미반영. 관측·확정 수요와 구분."
"cohort_scenario_2031","2031 입학인원 유지 재학생 시나리오","명","trend","scenario","신규","271","147","129","0","data_processed/education/grade_cohort_scenarios.json","2026 기준 최신 1학년 입학인원 유지 가정. 선택된 주 예측모형이 아니며 장기 검증 미확보. 전입전출·학구 변화 미반영. 관측·확정 수요와 구분."
"library_books_2026","학교도서관 도서자료(2026)","권","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_nonbooks_2026","학교도서관 비도서자료(2026)","개","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_materials_2026","학교도서관 전체 자료(2026)","개","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_materials_per_student_2026","학생 1인당 장서·자료(2026 공시)","개/명","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_rooms_2026","학교도서관 수(2026)","개","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_seats_2026","학교도서관 총좌석(2026)","석","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_certified_staff_2026","도서관 사서자격증 보유 인력(2026)","명","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_noncertified_staff_2026","도서관 사서자격증 미보유 인력(2026)","명","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_purchase_budget_2026","도서관 자료구입비 예산(2026)","원","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_operating_budget_2026","도서관 운영비 예산(2026)","원","reading","observation","신규","271","147","129","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다."
"library_annual_loans_2026","연간 학생 대출자료(2026 공시)","권","reading","observation","신규","270","145","128","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다. 공시 원값이며 전년도 학생수 기준; 실제 고유 이용자수·참여율로 재계산하지 않습니다."
"library_annual_borrowers_2026","연간 학생 대출자수(2026 공시)","명","reading","observation","신규","270","145","128","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다. 공시 원값이며 전년도 학생수 기준; 실제 고유 이용자수·참여율로 재계산하지 않습니다."
"library_loans_per_student_2026","학생 1인당 대출자료(2026 공시)","권/명","reading","observation","신규","270","145","128","0","data_processed/education/library_indicators_2026.json","학교알리미 2026 공시 항목58 · 초·중·고 자료. 기존 KESS2025 지표와 기준연도·정의가 다릅니다. 비공시·미확보는 0으로 계산하지 않습니다. 공시 원값이며 전년도 학생수 기준; 실제 고유 이용자수·참여율로 재계산하지 않습니다."
"nearest_library_including_small_m","가장 가까운 도서관 직선거리(작은도서관 포함)","m","reading","estimate","신규","272","147","129","369","data_processed/education/library_access_preview.json","공공·어린이·작은도서관 포함 · 직선거리. 출입구·운영시간·아동 이용조건과 인천 밖 공급은 미확인."
"libraries_public_children_500m","직선 500m 도서관 수(공공·어린이)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_public_children_1000m","직선 1000m 도서관 수(공공·어린이)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_public_children_1500m","직선 1500m 도서관 수(공공·어린이)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_public_children_2000m","직선 2000m 도서관 수(공공·어린이)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_public_children_2500m","직선 2500m 도서관 수(공공·어린이)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_including_small_500m","직선 500m 도서관 수(작은도서관 포함)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_including_small_1000m","직선 1000m 도서관 수(작은도서관 포함)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_including_small_1500m","직선 1500m 도서관 수(작은도서관 포함)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_including_small_2000m","직선 2000m 도서관 수(작은도서관 포함)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"libraries_including_small_2500m","직선 2500m 도서관 수(작은도서관 포함)","곳","reading","observation","신규","272","147","129","369","data_processed/education/library_access_preview.json","수집한 위치 원장 기준 직선거리 집계. 도달권 포함·실제 이용 가능성을 뜻하지 않으며 공급 유형은 서로 동등하지 않습니다."
"resident_age_0_500m_estimate","직선500m 유치원 연령 인구 추정","명","development","estimate","신규","241","129","114","338","data_processed/education/library_access_preview.json","2024 공개 인구를 100m 격자 중심점으로 집계한 추정. 1km 연령을 총인구 비중으로 배분. 등록학생·시설이용자 아님. 연령 결측 격자가 있으면 미산출."
